AgS,ReT,Temp,pH,rpm,AdC,Ce,qe
Virgin,PA,25.0,6.0,200.0,Single-ion,0.07321,0.00379953
Virgin,PA,25.0,6.0,200.0,Single-ion,0.13948,0.02062459
Virgin,PA,25.0,6.0,200.0,Single-ion,0.2178,0.03615541000000001
Virgin,PA,25.0,6.0,200.0,Single-ion,0.7138,0.07415046
Virgin,PA,25.0,6.0,200.0,Single-ion,2.14157,0.12897056
Virgin,PA,25.0,6.0,200.0,Single-ion,6.05339,0.21365052
Aged,PA,25.0,6.0,200.0,Single-ion,0.06719,0.00426176
Aged,PA,25.0,6.0,200.0,Single-ion,0.11739,0.02136415
Aged,PA,25.0,6.0,200.0,Single-ion,0.25796,0.03948345
Aged,PA,25.0,6.0,200.0,Single-ion,0.60536,0.07470513
Aged,PA,25.0,6.0,200.0,Single-ion,2.40464,0.13599641
Aged,PA,25.0,6.0,200.0,Single-ion,6.05339,0.21365052
Virgin,PMMA,25.0,6.0,200.0,Single-ion,0.04665999999999999,0.00131782
Virgin,PMMA,25.0,6.0,200.0,Single-ion,0.09238,0.00312163
Virgin,PMMA,25.0,6.0,200.0,Single-ion,0.4892,0.01093249
Virgin,PMMA,25.0,6.0,200.0,Single-ion,1.00522,0.01712673
Virgin,PMMA,25.0,6.0,200.0,Single-ion,2.01603,0.02626493
Virgin,PMMA,25.0,6.0,200.0,Single-ion,5.0501,0.03227197
Aged,PMMA,25.0,6.0,200.0,Single-ion,0.06952,0.00145395
Aged,PMMA,25.0,6.0,200.0,Single-ion,0.05483,0.00283234
Aged,PMMA,25.0,6.0,200.0,Single-ion,0.37489,0.007069600000000001
Aged,PMMA,25.0,6.0,200.0,Single-ion,0.7913,0.01093249
Aged,PMMA,25.0,6.0,200.0,Single-ion,1.6829,0.02046208
Aged,PMMA,25.0,6.0,200.0,Single-ion,4.32343,0.03788762
Virgin,PS,25.0,4.0,150.0,Single-ion,0.04884,0.01016227
Virgin,PS,25.0,4.0,150.0,Single-ion,0.05831,0.00953919
Virgin,PS,25.0,4.0,150.0,Single-ion,0.27839,0.02811839
