paper_id,doi
Chen_2021_seawater_MP_natural_particles_Cu,10.1021/acs.est.1c04278
ChenL_2025_starch_biodegradable_OTC_Cu,10.1016/j.envpol.2024.125538
Dai_2025_biofilm_PA_PLA_Cu,10.1016/j.envres.2025.121169
Gao_2021_aged_MPs_seawater_HM,10.1016/j.marpolbul.2021.112480
Hu_2024_virgin_aged_aquatic_Cu,10.1007/s11356-024-33131-1
Huang_2024_biodegradable_conventional_Cu,10.1016/j.envpol.2023.123061
Lin_2022_HBCD_PS_heavy_metal,10.1016/j.watres.2022.119144
Muthuraja_2024_PP_PS_aging_size_CuPb,10.1016/j.chemosphere.2024.143843
Purwiyanto_2020_aquatic_MP_Pb_Cu,10.1016/j.marpolbul.2020.111380
Sathyamoorthy_2022_PE_aquatic_Cu,10.1002/wer.10809
Sun_2022_PLA_biofilm_Cu,10.1016/j.cej.2021.132306
Sun_2023_PBAT_biofilm_Cu,10.1016/j.cej.2023.142714
Ta_2020_ChaoPhraya_aquaculture_HM,10.1016/j.marpolbul.2020.111747
Ta_2023_tropical_river_landuse_HM,10.1016/j.marpolbul.2023.114919
Tang_2022_PA6_water_matrices_Cu,10.1016/j.gr.2022.06.017
WangQ_2020_UV_radiation_metals_MPs,10.1016/j.jes.2019.07.006
WangQ_2022_biofilm_PS_CuPb,10.1016/j.jhazmat.2021.127340
WangY_2020_biofilm_PE_tetracycline_Cu,10.1016/j.cej.2019.123808
WangY_2021_PE_air_water_soil_Cu,10.1016/j.cej.2020.126412
Xue_2021_TPU_Cu_OTC,10.1016/j.jhazmat.2020.124835
Yang_2019_soil_UV_aging_Cu,10.1007/s11356-019-05643-8
Zhang_2025_urban_rural_river_HM,10.1016/j.emcon.2025.100500
ZhouJ_2022_CaCO3_filler_aging_metal,10.1016/j.scitotenv.2022.155142
ZhouZ_2022_aged_MPs_antibiotics_CuCr,10.1016/j.chemosphere.2021.132794
