paper_type,source_file,renamed_file
lab_iso,1-s2.0-S0013935125004207-main.pdf,Dai_2025_biofilm_PA_PLA_Cu.pdf
real_river,1-s2.0-S0025326X20304987-main.pdf,Purwiyanto_2020_aquatic_MP_Pb_Cu.pdf
real_river,1-s2.0-S0025326X20308651-main.pdf,Ta_2020_ChaoPhraya_aquaculture_HM.pdf
lab_iso,1-s2.0-S0025326X21005142-main.pdf,Gao_2021_aged_MPs_seawater_HM.pdf
real_river,1-s2.0-S0025326X23003508-main.pdf,Ta_2023_tropical_river_landuse_HM.pdf
lab_iso,1-s2.0-S0043135422010909-main.pdf,Lin_2022_HBCD_PS_heavy_metal.pdf
lab_iso,1-s2.0-S0045653521032665-main.pdf,ZhouZ_2022_aged_MPs_antibiotics_CuCr.pdf
lab_iso,1-s2.0-S0045653524027450-main.pdf,Muthuraja_2024_PP_PS_aging_size_CuPb.pdf
lab_iso,1-s2.0-S0048969722022355-main.pdf,ZhouJ_2022_CaCO3_filler_aging_metal.pdf
lab_iso,1-s2.0-S0269749123020638-main.pdf,Huang_2024_biodegradable_conventional_Cu.pdf
lab_iso,1-s2.0-S0269749124022553-main (1).pdf,ChenL_2025_starch_biodegradable_OTC_Cu.pdf
lab_iso,1-s2.0-S0304389420328260-main.pdf,Xue_2021_TPU_Cu_OTC.pdf
lab_iso,1-s2.0-S0304389421023086-main.pdf,WangQ_2022_biofilm_PS_CuPb.pdf
lab_iso,1-s2.0-S1001074219312987-main.pdf,WangQ_2020_UV_radiation_metals_MPs.pdf
lab_iso,1-s2.0-S1342937X22002039-main.pdf,Tang_2022_PA6_water_matrices_Cu.pdf
lab_iso,1-s2.0-S1385894719332231-main.pdf,WangY_2020_biofilm_PE_tetracycline_Cu.pdf
lab_iso,1-s2.0-S1385894720325407-main.pdf,WangY_2021_PE_air_water_soil_Cu.pdf
lab_iso,1-s2.0-S1385894721038857-main.pdf,Sun_2022_PLA_biofilm_Cu.pdf
lab_iso,1-s2.0-S1385894723014456-main.pdf,Sun_2023_PBAT_biofilm_Cu.pdf
real_river,1-s2.0-S2405665025000344-main.pdf,Zhang_2025_urban_rural_river_HM.pdf
lab_iso,chen-et-al-2021-copper-adsorption-to-microplas.pdf,Chen_2021_seawater_MP_natural_particles_Cu.pdf
lab_iso,s11356-019-05643-8.pdf,Yang_2019_soil_UV_aging_Cu.pdf
lab_iso,s11356-024-33131-1.pdf,Hu_2024_virgin_aged_aquatic_Cu.pdf
lab_iso,Water Environment Research - 2022 - Sathyamoor.pdf,Sathyamoorthy_2022_PE_aquatic_Cu.pdf
