AgS,ReT,Resin_pct,Temp,pH,rpm,AdC,Ce,modeled_qe,lo_qe,hi_qe,real_qe,reference
Aged,PP,37.0,25,7,167,Mixed,0.15776,0.39,0.07,0.8,0.000341,"(Zhang et al., 2025a)"
Aged,PE,24.0,25,7,167,Mixed,0.15776,0.33,0.05,0.87,0.000341,"(Zhang et al., 2025a)"
Aged,PET,18.0,25,7,167,Mixed,0.15776,0.3,0.05,0.64,0.000341,"(Zhang et al., 2025a)"
Aged,PS,17.0,25,7,167,Mixed,0.15776,0.32,0.06,0.64,0.000341,"(Zhang et al., 2025a)"
Aged,PET,100.0,25,7,167,Mixed,0.000218,0.34,0.01,3.31,0.0002905,"(Zhang et al., 2025b)"
Aged,PP,52.22,25,7,167,Mixed,0.04,0.29,0.08,0.75,0.0005,"(Ta & Babel, 2023)"
Aged,PE,21.0,25,7,167,Mixed,0.04,0.23,0.06,0.87,0.0005,"(Ta & Babel, 2023)"
Aged,PS,19.0,25,7,167,Mixed,0.04,0.21,0.07,0.54,0.0005,"(Ta & Babel, 2023)"
Aged,PE,50.0,25,7,167,Mixed,0.005,0.25,0.07,1.11,0.0145,"(Ta & Babel, 2020)"
Aged,PP,21.0,25,7,167,Mixed,0.005,0.3,0.08,0.75,0.0145,"(Ta & Babel, 2020)"
Aged,PS,7.0,25,7,167,Mixed,0.005,0.23,0.08,0.87,0.0145,"(Ta & Babel, 2020)"
Aged,PP,36.6,25,7,167,Mixed,0.0138,0.29,0.08,0.75,9.1e-05,"(Purwiyanto et al., 2020)"
Aged,PE,27.7,25,7,167,Mixed,0.0138,0.23,0.07,0.87,9.1e-05,"(Purwiyanto et al., 2020)"
Aged,PVC,9.09,25,7,167,Mixed,0.0138,0.2,0.08,0.51,9.1e-05,"(Purwiyanto et al., 2020)"
