model,model_label,fold,mae
RandomForest,RF,1,0.3772559710234117
RandomForest,RF,2,0.4383051472578145
RandomForest,RF,3,0.4841611845970536
RandomForest,RF,4,0.43171314226402524
RandomForest,RF,5,0.363349350139647
RandomForest,RF,6,0.36520241709575574
RandomForest,RF,7,0.40002954065481444
RandomForest,RF,8,0.4457664914416243
RandomForest,RF,9,0.4234300506570173
RandomForest,RF,10,0.389272353676772
XGBoost,XGB,1,0.3837862915626883
XGBoost,XGB,2,0.40888605546693163
XGBoost,XGB,3,0.46521378760567644
XGBoost,XGB,4,0.43355141066398123
XGBoost,XGB,5,0.41144260642775404
XGBoost,XGB,6,0.33935311362537507
XGBoost,XGB,7,0.32649328924750676
XGBoost,XGB,8,0.4080479713111178
XGBoost,XGB,9,0.4063443846387996
XGBoost,XGB,10,0.4570541730098209
LightGBM,LGBM,1,0.5216552335069209
LightGBM,LGBM,2,0.4659840358402449
LightGBM,LGBM,3,0.459537160794195
LightGBM,LGBM,4,0.44812393120909355
LightGBM,LGBM,5,0.4562473968814942
LightGBM,LGBM,6,0.4119618720618134
LightGBM,LGBM,7,0.414795128116474
LightGBM,LGBM,8,0.42856196482463477
LightGBM,LGBM,9,0.35174739071092503
LightGBM,LGBM,10,0.44775400030356693
ElasticNet,ElasticNet,1,0.7302088396306796
ElasticNet,ElasticNet,2,0.778219114255803
ElasticNet,ElasticNet,3,0.7086339268293742
ElasticNet,ElasticNet,4,0.896537143934633
ElasticNet,ElasticNet,5,0.7220285050695707
ElasticNet,ElasticNet,6,0.6642738268629573
ElasticNet,ElasticNet,7,0.7239999392140609
ElasticNet,ElasticNet,8,0.792789947574395
ElasticNet,ElasticNet,9,0.7097448158424607
ElasticNet,ElasticNet,10,0.8570657649943948
