river,country,MP_type,MP_items_m3,MP_mass_mg_m3,Ce_mg_L,Q_m3_yr,reference,pH,Temp,rpm,AgS,AdC,lab_qe_mg_g,river_qe_mg_g,river_qe_low_mg_g,river_qe_high_mg_g,mass_kg_yr,mass_low_kg_yr,mass_high_kg_yr,faf_central,faf_ci_low,faf_ci_high,global_qe_mg_g,global_mass_kg_yr,global_mass_low_kg_yr,global_mass_high_kg_yr
Yangtze,China,PP,2904.12,36.3015,0.00305,498000000000,Xuan Cuong Nguyen (DTU). Version: 1.3.0,7.0,20.0,150.0,Aged,Single-ion,0.43854,0.0005575222657600228,0.00047091363133454925,0.0025302354306350606,10.078969476182758,8.513245851569787,45.74196805962893,0.0012713145112419,0.0010738213876375,0.0057696799166212,0.0005926995382860862,133.0408945609246,112.37357612664206,603.7871593927156
Ganges,"India, Bangladesh",½ PE and ½  PP,16.775,0.2096875,2.54,656000000000,Xuan Cuong Nguyen (DTU). Version: 1.3.0,7.0,20.0,150.0,Aged,Single-ion,0.580887328,0.0007384904894829332,0.0006237692366139996,0.0033515339501813514,0.10158305928082488,0.08580257734243871,0.4610202525171958,0.0012713145112419,0.0010738213876375,0.0057696799166212,0.0005926995382860862,133.0408945609246,112.37357612664206,603.7871593927156
Xi,China,½ PE and ½  PP,480.0,6.0,0.00877,174000000000,Xuan Cuong Nguyen (DTU). Version: 1.3.0,7.0,20.0,150.0,Aged,Single-ion,0.46714000000000006,0.0005938818607815412,0.0005016249230209818,0.0026952482762504274,0.6200126626559289,0.523696419633905,2.813839200405446,0.0012713145112419,0.0010738213876375,0.0057696799166212,0.0005926995382860862,133.0408945609246,112.37357612664206,603.7871593927156
Huangpu,China,PP,1666.7,20.833750000000002,0.00877,12700000000,Xuan Cuong Nguyen (DTU). Version: 1.3.0,7.0,20.0,150.0,Aged,Single-ion,0.43854,0.0005575222657600228,0.00047091363133454925,0.0025302354306350606,0.14751404970432902,0.12459839020856532,0.6694715135180136,0.0012713145112419,0.0010738213876375,0.0057696799166212,0.0005926995382860862,133.0408945609246,112.37357612664206,603.7871593927156
Cross,"Nigeri, Cameroon",½ PE and ½  PP,480.0,6.0,0.00877,7570000000,Xuan Cuong Nguyen (DTU). Version: 1.3.0,7.0,20.0,150.0,Aged,Single-ion,0.46714000000000006,0.0005938818607815412,0.0005016249230209818,0.0026952482762504274,0.026974114116697603,0.022783804003612997,0.12241817670729441,0.0012713145112419,0.0010738213876375,0.0057696799166212,0.0005926995382860862,133.0408945609246,112.37357612664206,603.7871593927156
Brantas,Indonesia,½ PE and ½  PP,3467.41,43.342625000000005,0.00877,25800000000,Xuan Cuong Nguyen (DTU). Version: 1.3.0,7.0,20.0,150.0,Aged,Single-ion,0.46714000000000006,0.0005938818607815412,0.0005016249230209818,0.0026952482762504274,0.664102288682839,0.560936915972129,3.013933691241002,0.0012713145112419,0.0010738213876375,0.0057696799166212,0.0005926995382860862,133.0408945609246,112.37357612664206,603.7871593927156
Amazon,"Brazil, Peru, Colombia, Ecuador",½ PE and ½  PP,57.0,0.7125,0.00248,4410000000000,Xuan Cuong Nguyen (DTU). Version: 1.3.0,7.0,20.0,150.0,Aged,Single-ion,0.46714000000000006,0.0005938818607815412,0.0005016249230209818,0.0026952482762504274,1.8660510418082001,1.5761682112473026,8.468806990013375,0.0012713145112419,0.0010738213876375,0.0057696799166212,0.0005926995382860862,133.0408945609246,112.37357612664206,603.7871593927156
Pasig,Philippines,½ PE and ½  PP,480.0,6.0,0.00877,6530000000,Xuan Cuong Nguyen (DTU). Version: 1.3.0,7.0,20.0,150.0,Aged,Single-ion,0.46714000000000006,0.0005938818607815412,0.0005016249230209818,0.0026952482762504274,0.023268291305420782,0.019653664483962066,0.10559982746349174,0.0012713145112419,0.0010738213876375,0.0057696799166212,0.0005926995382860862,133.0408945609246,112.37357612664206,603.7871593927156
Irrawaddy,Myanmar,½ PE and ½  PP,480.0,6.0,0.00877,173000000000,Xuan Cuong Nguyen (DTU). Version: 1.3.0,7.0,20.0,150.0,Aged,Single-ion,0.46714000000000006,0.0005938818607815412,0.0005016249230209818,0.0026952482762504274,0.6164493714912398,0.5206866700957791,2.7976677107479433,0.0012713145112419,0.0010738213876375,0.0057696799166212,0.0005926995382860862,133.0408945609246,112.37357612664206,603.7871593927156
(Surabaya) Solo,Indonesia,½ PE and ½  PP,13.16,0.1645,0.00877,23500000000,Xuan Cuong Nguyen (DTU). Version: 1.3.0,7.0,20.0,150.0,Aged,Single-ion,0.46714000000000006,0.0005938818607815412,0.0005016249230209818,0.0026952482762504274,0.002295798803316243,0.0019391565461683606,0.01041915602391509,0.0012713145112419,0.0010738213876375,0.0057696799166212,0.0005926995382860862,133.0408945609246,112.37357612664206,603.7871593927156
Mekong,"Thailand, Cambodia, Laos, China, Myanmar, Vietnam",PET,21.5,0.26875,0.00877,190000000000,Xuan Cuong Nguyen (DTU). Version: 1.3.0,7.0,20.0,150.0,Aged,Single-ion,0.17126869,0.00021773637091839046,0.00018391198235465683,0.000988165521039022,0.011118163440020312,0.009391005598984665,0.05045820191805506,0.0012713145112419,0.0010738213876375,0.0057696799166212,0.0005926995382860862,133.0408945609246,112.37357612664206,603.7871593927156
Imo,Nigeria,½ PE and ½  PP,480.0,6.0,0.00877,8800000000,Xuan Cuong Nguyen (DTU). Version: 1.3.0,7.0,20.0,150.0,Aged,Single-ion,0.46714000000000006,0.0005938818607815412,0.0005016249230209818,0.0026952482762504274,0.031356962249265374,0.02648579593550784,0.14230910898602256,0.0012713145112419,0.0010738213876375,0.0057696799166212,0.0005926995382860862,133.0408945609246,112.37357612664206,603.7871593927156
Dong,China,½ PE and ½  PP,480.0,6.0,0.00877,26900000000,Xuan Cuong Nguyen (DTU). Version: 1.3.0,7.0,20.0,150.0,Aged,Single-ion,0.46714000000000006,0.0005938818607815412,0.0005016249230209818,0.0026952482762504274,0.09585253233014075,0.08096226257558647,0.435013071786819,0.0012713145112419,0.0010738213876375,0.0057696799166212,0.0005926995382860862,133.0408945609246,112.37357612664206,603.7871593927156
Serayu,Indonesia,½ PE and ½  PP,480.0,6.0,0.00877,11700000000,Xuan Cuong Nguyen (DTU). Version: 1.3.0,7.0,20.0,150.0,Aged,Single-ion,0.46714000000000006,0.0005938818607815412,0.0005016249230209818,0.0026952482762504274,0.041690506626864195,0.03521406959607293,0.18920642899278,0.0012713145112419,0.0010738213876375,0.0057696799166212,0.0005926995382860862,133.0408945609246,112.37357612664206,603.7871593927156
Magdalena,Colombia,½ PE and ½  PP,480.0,6.0,0.00877,187000000000,Xuan Cuong Nguyen (DTU). Version: 1.3.0,7.0,20.0,150.0,Aged,Single-ion,0.46714000000000006,0.0005938818607815412,0.0005016249230209818,0.0026952482762504274,0.6663354477968891,0.5628231636295417,3.0240685659529793,0.0012713145112419,0.0010738213876375,0.0057696799166212,0.0005926995382860862,133.0408945609246,112.37357612664206,603.7871593927156
